PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Cigliano, JA; Meyer, R; Ballard, HL; Freitag, A; Phillips, TB; Wasser, A				Cigliano, John A.; Meyer, Ryan; Ballard, Heidi L.; Freitag, Amy; Phillips, Tina B.; Wasser, Ann			Making marine and coastal citizen science matter	OCEAN & COASTAL MANAGEMENT			English	Article; Proceedings Paper	International Marine Conservation Congress (IMCC3)	AUG 14-18, 2014	Glasgow, SCOTLAND			Citizen science; Marine conservation; Coastal conservation; Toolldt	PUBLIC-PARTICIPATION; CONSERVATION; COMMUNITY; TOOL; MANAGEMENT; KNOWLEDGE; ATTITUDES; SCIENTISTS; BEHAVIOR; POLICY	Against the backdrop of a dramatic increase in citizen science activity worldwide, we convened a combined symposium and focus group at the 2014 International Marine Conservation Congress to consider the challenges and opportunities for mobilizing citizen science in the marine and coastal environment. Highlighting the diversity of existing models and approaches to citizen science, participants focused on six different conservation-related outcomes that citizen science projects can potentially support: policy, education, community capacity building, site management, species management; and research. We provide two example case studies of projects and summarize the key themes and recommendations associated with each of those outcomes. The result is a series of "toolkits" that can help to guide new and existing citizen science projects that aim to support management and conservation of ocean resources, as well as providing insights and recommendations to stimulate further research on and assessment of marine and coastal citizen science programs. Citizen science is an effective approach to conservation and it is time for this underutilized resource to become a more prominent approach for marine and coastal conservation. (C) 2015 Elsevier Ltd.	[Cigliano, John A.] Cedar Crest Muhlenberg Coll, Dept Biol Sci, Allentown, PA 18104 USA; [Meyer, Ryan] Calif Ocean Sci Trust, Palo Alto, CA USA; [Ballard, Heidi L.] Univ Calif Davis, Sch Educ, Davis, CA 95616 USA; [Freitag, Amy] Virginia Sea Grant, Blacksburg, VA USA; [Phillips, Tina B.] Cornell Lab Ornithol, Ithaca, NY 14850 USA; [Wasser, Ann] Pacific Grove Museum Nat Hist, Pacific Grove, CA USA	University of California System; University of California Davis; Cornell University	Cigliano, JA (corresponding author), Cedar Crest Muhlenberg Coll, Dept Biol Sci, 100 Coll Dr, Allentown, PA 18104 USA.	jaciglia@cedarcrest.edu	Meyer, Ryan/G-1368-2010; Cigliano, John/AAA-4349-2022	Cigliano, John/0000-0003-1059-4191; Meyer, Ryan/0000-0001-9696-7651	Earthwatch International	Earthwatch International	We would like to the participants of the symposium and focus groups. Their dedication to and knowledge of marine and coastal conservation and to citizen science made this paper possible. JAC would like to thank Earthwatch International for funding and the amazing Earthwatch citizen scientists for their help. We would also like to acknowledge the two anonymous reviewers for the helpful comments, which greatly improved the manuscript.		91	141	150	9	97	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0964-5691	1873-524X		OCEAN COAST MANAGE	Ocean Coastal Manage.	OCT	2015	115						77	87		10.1016/j.ocecoaman.2015.06.012	http://dx.doi.org/10.1016/j.ocecoaman.2015.06.012			11	Oceanography; Water Resources	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI); Conference Proceedings Citation Index - Science (CPCI-S)	Oceanography; Water Resources	CV4QT		hybrid			2025-01-27	WOS:000364252300011
J	Hicks, A; Barclay, J; Chilvers, J; Armijos, MT; Oven, K; Simmons, P; Haklay, M				Hicks, Anna; Barclay, Jenni; Chilvers, Jason; Armijos, M. Teresa; Oven, Katie; Simmons, Peter; Haklay, Muki			Global Mapping of Citizen Science Projects for Disaster Risk Reduction	FRONTIERS IN EARTH SCIENCE			English	Article						citizen science (CS); participation; narrative; disaster risk reduction; knowledge	VOLUNTEERED GEOGRAPHIC INFORMATION; VOLCANIC HAZARD MANAGEMENT; FLOOD RISK; PARTICIPATION; CRISIS; COMMUNICATION; GOVERNANCE; EARTHQUAKE; KNOWLEDGE; RESILIENCE	Citizen science for disaster risk reduction (DRR) holds huge promise and has demonstrated success in advancing scientific knowledge, providing early warning of hazards, and contributed to the assessment and management of impacts. While many existing studies focus on the performance of specific citizen science examples, this paper goes beyond this approach to present a systematic global mapping of citizen science used for DRR in order to draw out broader insights across diverse methods, initiatives, hazards and country contexts. The systematic mapping analyzed a total of 106 cases of citizen science applied to DRR across all continents. Unlike many existing reviews of citizen science initiatives, relevance to the disaster risk context led us to 'open up' our mapping to a broader definition of what might constitute citizen science, including participatory research and narrative-based approaches. By taking a wider view of citizen science and opening up to other disciplinary practices as valid ways of knowing risks and hazards, we also capture these alternative examples and discuss their relevance for aiding effective decision-making around risk reduction. Based on this analysis we draw out lessons for future research and practice of citizen science for DRR including the need to: build interconnections between disparate citizen science methods and practitioners; address multi-dimensionality within and across hazard cycles; and develop principles and frameworks for evaluating citizen science initiatives that not only ensure scientific competence but also attend to questions of equity, responsibility and the empowerment of those most vulnerable to disaster risk.	[Hicks, Anna] British Geol Survey, Lyell Ctr, Edinburgh, Midlothian, Scotland; [Barclay, Jenni; Chilvers, Jason; Simmons, Peter] Univ East Anglia, Sch Environm Sci, Norwich, Norfolk, England; [Armijos, M. Teresa] Univ East Anglia, Sch Int Dev, Norwich, Norfolk, England; [Oven, Katie] Univ Durham, Dept Geog, Durham, England; [Haklay, Muki] UCL, Dept Geog, London, England	UK Research & Innovation (UKRI); Natural Environment Research Council (NERC); NERC British Geological Survey; University of East Anglia; University of East Anglia; Durham University; University of London; University College London	Hicks, A (corresponding author), British Geol Survey, Lyell Ctr, Edinburgh, Midlothian, Scotland.	ahicks@bgs.ac.uk	Haklay, Mordechai/AAN-6892-2021; Barclay, Jenni/C-2731-2011	Chilvers, Jason/0000-0001-9238-1653; Barclay, Jenni/0000-0002-6122-197X; Simmons, Peter/0000-0003-1078-3101; Armijos Burneo, Maria Teresa/0000-0003-1020-6056; Haklay, Mordechai/0000-0001-6117-3026	UK's Global Challenges Research Fund: Building Resilience call;  [NE/P016014/1]; NERC [bgs05003, NE/J020087/1, NE/P016014/1, NE/R000069/1] Funding Source: UKRI	UK's Global Challenges Research Fund: Building Resilience call; ; NERC(UK Research & Innovation (UKRI)Natural Environment Research Council (NERC))	This project was funded by the UK's Global Challenges Research Fund: Building Resilience call. Small grants were made available for the design of foundation-building activities with a view to develop inter-disciplinary research communities to address the issue of 'Building Resilience' to both sudden and slow-onset environmental hazards (e. g., land-degradation, deforestation, drought, hurricanes, climate change). This was a joint UK research council call, led by the Natural Environment Research Council (NERC), the Arts and Humanities Research Council (AHRC), and the Economic and Social Research Council (ESRC). JB was PI for this project, grant number: NE/P016014/1.		137	57	58	7	44	FRONTIERS MEDIA SA	LAUSANNE	AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND		2296-6463		FRONT EARTH SC-SWITZ	Front. Earth Sci.	SEP 18	2019	7								226	10.3389/feart.2019.00226	http://dx.doi.org/10.3389/feart.2019.00226			18	Geosciences, Multidisciplinary	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Geology	IY6XZ		Green Accepted, Green Published, gold			2025-01-27	WOS:000486540900001
C	Cheng, L; Kong, LH; Luo, CW; Niu, JW; Gu, Y; He, WB; Das, S			IEEE	Cheng, Long; Kong, Linghe; Luo, Chengwen; Niu, Jianwei; Gu, Yu; He, Wenbo; Das, Sajal			DECO: False Data Detection and Correction Framework for Participatory Sensing	2015 IEEE 23RD INTERNATIONAL SYMPOSIUM ON QUALITY OF SERVICE (IWQOS)			English	Proceedings Paper	23rd IEEE/ACM International Symposium on Quality of Service (IWQoS)	JUN 13-20, 2015	Portland, OR	IEEE, ACM			REPUTATION; PRIVACY	Participatory sensing enables to collect a vast amount of data from the crowd by allowing a wide variety of sources to contribute data. However, the openness of participatory sensing exposes the system to malicious and erroneous participations, inevitably resulting in poor data quality. This brings forth the important issues of false data detection and correction in participatory sensing. Furthermore, data collected by participants normally include considerable missing values, which poses challenges for accurate false data detection. In this work, we propose DECO, a general framework to detect false values for participatory sensing in the presence of missing data. By applying a tailored spatio-temporal compressive sensing technique, DECO is able to accurately detect the false data and estimate both false and missing values for data correction. We validate our design through an experimental case study.	[Cheng, Long; Niu, Jianwei] Beihang Univ, State Key Lab Virtual Real Technol & Syst, Beijing 100191, Peoples R China; [Cheng, Long] Beijing Univ Posts & Telecommun, State Key Lab Networking & Switching Tech, Beijing, Peoples R China; [Kong, Linghe; He, Wenbo] McGill Univ, Montreal, PQ H3A 2T5, Canada; [Luo, Chengwen] Natl Univ Singapore, Singapore, Singapore; [Gu, Yu] IBM Res Austin, Austin, TX USA; [Das, Sajal] Missouri Univ Sci & Technol, Columbia, MO USA	Beihang University; Beijing University of Posts & Telecommunications; McGill University; National University of Singapore; University of Missouri System; Missouri University of Science & Technology	Cheng, L (corresponding author), Beihang Univ, State Key Lab Virtual Real Technol & Syst, Beijing 100191, Peoples R China.		Cheng, Long/AAW-7516-2020; gu, yu/GSD-4507-2022; He, Wenbo/KEI-0262-2024	He, Wenbo/0000-0001-8606-2920					28	4	4	0	7	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-4673-7113-1				2015							213	218						6	Computer Science, Theory & Methods; Engineering, Electrical & Electronic	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; Engineering	BF4OT					2025-01-27	WOS:000381505400043
B	Estrada, T; Taufer, M		Cerin, C; Fedak, G		Estrada, Trilce; Taufer, Michela			Challenges in Designing Scheduling Policies in Volunteer Computing	DESKTOP GRID COMPUTING	Chapman & Hall CRC Numerical Analysis and Scientific Computing		English	Article; Book Chapter									[Estrada, Trilce; Taufer, Michela] Univ Delaware, Newark, DE 19716 USA	University of Delaware	Estrada, T (corresponding author), Univ Delaware, Newark, DE 19716 USA.			Taufer, Michela/0000-0002-0031-6377; Estrada, Trilce/0000-0001-7743-8754					16	5	7	0	0	CHAPMAN & HALL/CRC PRESS	BOCA RATON	6000 BROKEN SOUND PKWY, NW, STE 300, BOCA RATON, FL 33487 USA			978-1-4398-6215-5; 978-1-4398-6214-8	CH CRC NUMER ANAL SC			2012							167	190						24	Computer Science, Hardware & Architecture; Computer Science, Software Engineering; Computer Science, Theory & Methods	Book Citation Index – Science (BKCI-S)	Computer Science	BC5FG					2025-01-27	WOS:000353237100009
C	Sun, W; Tham, CK			IEEE	Sun, Wen; Tham, Chen-Khong			An Information-Driven Incentive Scheme with Consumer Demand Awareness for Participatory Sensing	2015 12TH ANNUAL IEEE INTERNATIONAL CONFERENCE ON SENSING, COMMUNICATION, AND NETWORKING (SECON)			English	Proceedings Paper	12th Annual IEEE International Conference on Sensing, Communication, and Networking - Workshops (SECON Workshops)	JUN 22-25, 2015	Seattle, WA	IEEE		participatory sensing; incentive scheme		Participatory sensing facilitates smartphone users to contribute data to form a body of knowledge. A significant issue which determines the success of participatory sensing is the incentive for contributors. In this paper, we propose an information-driven incentive scheme with consumer demand awareness for participatory sensing. An information utility metric is introduced to measure the quality of sensor information from contributors according to the consumer demand. The contributors with the most information utility are selected and incentivized, which allows us to maximize the satisfaction of the consumers as well as the profits of the service provider. Based on the incentive scheme, contributors and consumers determine their participation levels respectively to maximize their utilities. The performance of the proposed incentive scheme is investigated through extensive simulations, which show an improved information utility and sensing coverage.	[Sun, Wen] Natl Univ Singapore, Dept Comp Sci, Singapore 117548, Singapore; [Tham, Chen-Khong] Natl Univ Singapore, Dept Elect & Comp Engn, Singapore 117548, Singapore	National University of Singapore; National University of Singapore	Sun, W (corresponding author), Natl Univ Singapore, Dept Comp Sci, Singapore 117548, Singapore.	dcssunw@nus.edu.sg; eletck@nus.edu.sg	Sun, Wen/AAC-8056-2020; Tham, Chen Khong/D-6458-2016	Tham, Chen Khong/0000-0002-6005-1198					13	5	5	0	1	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-4673-7331-9				2015							319	326						8	Computer Science, Theory & Methods; Engineering, Electrical & Electronic; Telecommunications	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; Engineering; Telecommunications	BE9WN					2025-01-27	WOS:000378319400047
C	Cárdenas-Montes, M; Vega-Rodríguez, MA; Orellana, CJG; del Solar, MR; Gómez-Pulido, JA; Velasco, HG; Gómez-Iglesias, A; Sánchez-Pérez, JM; Macías, MM		Silva, F; Barreira, G; Ribeiro, L		Cardenas-Montes, Miguel; Vega-Rodriguez, Miguel A.; Orellana, Carlos J. Garcia; Rubio del Solar, Manuel; Gomez-Pulido, Juan A.; Gonzalez Velasco, Horacio; Gomez-Iglesias, Antonio; Sanchez-Perez, Juan M.; Macias Macias, Miguel			The Fruitful Application of Volunteer Computing to Regions with Low Scientific Funds: Extremadura as an Example	IBERGRID: 2ND IBERIAN GRID INFRASTRUCTURE CONFERENCE PROCEEDINGS			English	Proceedings Paper	2nd Iberian Grid Infrastructure Conference (IBERGRID)	MAY 12-14, 2008	Univ Porto, Porto, PORTUGAL	Portuguese Ministry Sci Tech Higher Educ, Spanish Ministry Educ Sci, Caixa Geral Depositos, HP, IBM, Microsoft, NextiraOne, Sun Microsys, Xerox	Univ Porto			Many regions around the world have low scientific funds. In these regions, the use of free software and Volunteer Computing is a very interesting option for grid computing and for developing important research. Extremadura is an example of this kind of regions. Concretely, this paper presents the works done by several research groups from University of Extremadura and CETA-CIEMAT in order to exploit and profit an infrastructure of distributed computing over the computing resources of University and over virtualized environments. As conclusion, the use of Volunteer Computing has generated, in Extremadura, important results in very different researches.	[Cardenas-Montes, Miguel; Rubio del Solar, Manuel; Gomez-Iglesias, Antonio] Extremadura Adv Res Ctr CETA CIEMAT, Trujillo 10200, Spain	Centro de Investigaciones Energeticas, Medioambientales Tecnologicas	Cárdenas-Montes, M (corresponding author), Extremadura Adv Res Ctr CETA CIEMAT, Trujillo 10200, Spain.	miguel.cardenas@ciemat.es; mavega@unex.es; carlos@capi.unex.es; manuel.rubio@ciemat.es; jangomez@unex.es; horacio@capi.unex.es; antonio.gomez@ciemat.es; sanperez@unex.es; miguel@capi.unex.es	Cárdenas-Montes, Miguel/AAB-8058-2019; Gomez-Pulido, Juan A./A-9427-2009; Macias, Miguel/F-7640-2016; Vega-Rodriguez, Miguel A./I-3626-2015; Gomez-Iglesias, Antonio/D-4479-2012	Vega-Rodriguez, Miguel A./0000-0002-3003-758X; Gomez-Iglesias, Antonio/0000-0002-9203-2506					12	0	0	0	0	NETBIBLO	OLEIROS	C/ RAFAEL ALBERTI, 6 BAJO IZQ SANTA CRISTINA, OLEIROS,  A CORUNA, SPAIN			978-84-9745-288-5				2008							129	+						2	Computer Science, Theory & Methods	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science	BRS44					2025-01-27	WOS:000283531600012
C	Ujhelyi, M; Lacko, P; Paulovic, A			IEEE	Ujhelyi, Matus; Lacko, Peter; Paulovic, Aurel			Task Scheduling in Distributed Volunteer Computing Systems	2014 IEEE 12TH INTERNATIONAL SYMPOSIUM ON INTELLIGENT SYSTEMS AND INFORMATICS (SISY)	International Symposium on Intelligent Systems and Informatics		English	Proceedings Paper	12th IEEE International Symposium on Intelligent Systems and Informatics (SISY)	SEP 11-13, 2014	Subotica, SERBIA	IEEE				With the increase in the amount of data processing the importance of distributed computational systems is rising. The efficiency of the task scheduling algorithms used in distributed computational systems is one of the major challenges for the architecture of such systems. This paper presents and introduces a new task scheduling algorithm suggested for volunteer computing systems. It is based on an assessment of host performance, which is obtained from the characteristics of hosts participating in BOINC, the most widely used representative of volunteer computing systems. This paper also describes the simulation process and the achieved results of the proposed algorithm as compared with the original FCFS BOINC scheduling strategy.	[Ujhelyi, Matus; Lacko, Peter; Paulovic, Aurel] Slovak Univ Technol Bratislava, Fac Informat & Informat Technol, Bratislava, Slovakia	Slovak University of Technology Bratislava	Ujhelyi, M (corresponding author), Slovak Univ Technol Bratislava, Fac Informat & Informat Technol, Bratislava, Slovakia.	ujhelyi.m@gmail.com; peter.lacko@stuba.sk; aurel.paulovic@stuba.sk							6	4	4	0	2	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1949-047X		978-1-4799-5996-9	I S INTELL SYST INFO			2014							111	114						4	Computer Science, Artificial Intelligence; Computer Science, Theory & Methods; Engineering, Electrical & Electronic	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; Engineering	BD1WK					2025-01-27	WOS:000358412300020
C	Heggen, S			Assoc Comp Machinery	Heggen, Scott			Integrating Participatory Sensing and Informal Science Education	UBICOMP'12: PROCEEDINGS OF THE 2012 ACM INTERNATIONAL CONFERENCE ON UBIQUITOUS COMPUTING			English	Proceedings Paper	14th ACM International Conference on Ubiquitous Computing (UbiComp)	SEP 05-08, 2012	Carnegie Mellon Univ, Pittsburgh, PA	Assoc Comp Machinery, ACM SIGCHI, ACM SIGMOBILE, Natl Sci Fdn, Intel Sci & Technol Ctr Pervas Comp, Intel Sci & Technol Ctr Social Comp, Microsoft Res, Qualcomm, Google, Motorola, Telefonica Investigac Desarrollo, Dejan Res	Carnegie Mellon Univ	participatory sensing; informal science education; public participation in scientific research; sensing; toolkit		In light of the declining number of new students pursuing education in science, technology, engineering, and mathematics, informal science educators have adopted public participation in scientific research as a tool to produce gains in engagement. Following their lead, we propose to use a form of public participation in scientific research known as participatory sensing to increase engagement in these academic areas. Participatory sensing involves volunteers using mobile phones and the embedded sensing capabilities to collect data, and is well suited for the task as it provides the students with a familiar tool for conducting complex scientific research. To accomplish this goal, we have developed two components: a toolkit for defining, creating, and managing a participatory sensing campaign, including automated generation of mobile applications; and a curriculum designed around the toolkit, where students conduct scientific research with mobile phones as their primary data collection tools. Thus far, the results of this work have shown the potential for participatory sensing as an informal education tool to increase engagement and interest in pursuing careers in science and technology.	[Heggen, Scott] Univ North Carolina Charlotte, Charlotte, NC 28223 USA	University of North Carolina; University of North Carolina Charlotte	Heggen, S (corresponding author), Univ North Carolina Charlotte, Charlotte, NC 28223 USA.	sheggen@uncc.edu		Heggen, Scott/0000-0003-2288-3038					5	13	13	0	3	ASSOC COMPUTING MACHINERY	NEW YORK	1515 BROADWAY, NEW YORK, NY 10036-9998 USA			978-1-4503-1224-0				2012							552	555						4	Computer Science, Information Systems; Computer Science, Theory & Methods; Telecommunications	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; Telecommunications	BO1DD					2025-01-27	WOS:000494987600069
C	Antolí, B; Benito, D; Cárdenas-Montes, M; Castejón, F; Castellanos, C; Castelo, V; de Alfonso, C; de Miguel, T; Gavela, R; Hernández, V; Herraiz, L; Ibar, J; Jiménez, L; Ramos, R; Rivero, A; Sáenz, JF; Serrano, F; Rubio, M; Tarancón, A; Vuillemin, P		Silva, F; Barreira, G; Ribeiro, L		Antoli, B.; Benito, D.; Cardenas-Montes, M.; Castejon, F.; Castellanos, C.; Castelo, V.; de Alfonso, C.; de Miguel, T.; Gavela, R.; Hernandez, V.; Herraiz, L.; Ibar, J.; Jimenez, L.; Ramos, R.; Rivero, A.; Saenz, J. F.; Serrano, F.; Rubio, M.; Tarancon, A.; Vuillemin, P.			CIVICO Citizen Volunteer Infrastructure for Computing	IBERGRID: 2ND IBERIAN GRID INFRASTRUCTURE CONFERENCE PROCEEDINGS			English	Proceedings Paper	2nd Iberian Grid Infrastructure Conference (IBERGRID)	MAY 12-14, 2008	Univ Porto, Porto, PORTUGAL	Portuguese Ministry Sci Tech Higher Educ, Spanish Ministry Educ Sci, Caixa Geral Depositos, HP, IBM, Microsoft, NextiraOne, Sun Microsys, Xerox	Univ Porto	Volunteer Computing; BOINC; Peer to Peer Computing	PLASMAS	Volunteer computing paradigm is becoming a feasible resource of computation for a certain set of calculations and it is an effective platform of science dissemination. This article presents CIVIC, an open framework created to deploy new volunteer computing platforms based on BOINC, the popular library. The first platform created in this framework is Ibercivis that aims to integrate the increasing requirements of scientists with the hard task of popularize advanced researches. In this sense, the set of features developed for CIVICO include improvements in the global architecture, advanced scripting tasks for the middleware system and connections between participants and existing social networks.	[Antoli, B.; Benito, D.; Castejon, F.; Castellanos, C.; Herraiz, L.; Ibar, J.; Jimenez, L.; Rivero, A.; Saenz, J. F.; Serrano, F.; Tarancon, A.] BIFI UZ, Inst Biocomputat & Phys Complex Syst, Zaragoza, Spain; [Cardenas-Montes, M.; Castejon, F.; Gavela, R.; Ramos, R.] CIEMAT, Madrid, Spain; [Cardenas-Montes, M.; Ramos, R.; Rubio, M.] Extermadura Adv Res Ctr, CTI CIEMAT, Trujillo, Spain; [Castelo, V.] Ctr Tech Informat, Consejo Super Investigac Cientificas, CTI CSIC, Madrid, Spain; [de Alfonso, C.; Hernandez, V.; Vuillemin, P.] Univ Politecn Valencia, Inst Applicat Technol Informat Commun Avanzadas, Valencia, Spain; [de Miguel, T.] Red Espanola ID, RedIRIS, Madrid, Spain; [Tarancon, A.] Univ Zaragoza, Dept Theoret Phys, DFT UZ, Zaragoza, Spain	Centro de Investigaciones Energeticas, Medioambientales Tecnologicas; Centro de Investigaciones Energeticas, Medioambientales Tecnologicas; Consejo Superior de Investigaciones Cientificas (CSIC); CSIC - Centro Tecnico de Informatica (CTI); Universitat Politecnica de Valencia; University of Zaragoza	Antolí, B (corresponding author), BIFI UZ, Inst Biocomputat & Phys Complex Syst, Zaragoza, Spain.		Rivero, Alejandro/AFE-3603-2022; Tarancon, Alfonso/F-2030-2010; Cárdenas-Montes, Miguel/AAB-8058-2019; , de Celis Alonso Benito/AAP-4512-2021; Castejon, Francisco/L-7341-2014; Serrano, Fermin/A-4069-2012		Ayuntamiento de Zaragoza; Diputacion General de Aragon; Ibercaja	Ayuntamiento de Zaragoza; Diputacion General de Aragon(Gobierno de Aragon); Ibercaja(Spanish Government)	The authors wish to thank the researchers for offering their scientific applications to be run in Ibercivis and their help and suggestions. These scientists are J.L. Velasco and A. Bustos for the fusion ISDEP application, V. Martyn-Mayor, A. Gordillo-Guerrero, J.J. Ruiz-Lorenzo and L.A. Fernandez for the disordered systems application, and A. Morreale, A.R. Ortyz, D. Abia and R. Gil-Redondo for the docking application. We also wish to thank the Ayuntamiento de Zaragoza, the Diputacion General de Aragon and Ibercaja for finantial support.		8	0	0	0	2	NETBIBLO	OLEIROS	C/ RAFAEL ALBERTI, 6 BAJO IZQ SANTA CRISTINA, OLEIROS,  A CORUNA, SPAIN			978-84-9745-288-5				2008							273	+						2	Computer Science, Theory & Methods	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science	BRS44					2025-01-27	WOS:000283531600024
C	Christensen, C; Aina, T; Stainforth, D		Stockinger, H; Buyya, R; Perrott, R		Christensen, C; Aina, T; Stainforth, D			The challenge of volunteer computing with lengthy climate model ssimulations	First International Conference on e-Science and Grid Computing, Proceedings			English	Proceedings Paper	1st International Conference on e-Science and Grid Computing	DEC 05-08, 2005	Melbourne, AUSTRALIA					This paper describes the issues confronted by the climateprediction. net project in creating a volunteer computing project using a large legacy climate model application. This application typically takes from weeks to months to complete one simulation, and has large memory and disk usage requirements. We describe issues in porting the climate model to a single-processor PC platform, checkpointing, computer resources and workunit size for a simulation, and the volunteer computing infrastructures used (a project-specific system and BOINC). We also describe the methods used to obtain and retain users, and examine the retention/attrition rate of users running the lengthy modelling simulations.	Univ Oxford, Clarendon Lab, Dept Atmospher Phys, Oxford OX1 3PU, England	University of Oxford	Christensen, C (corresponding author), Univ Oxford, Clarendon Lab, Dept Atmospher Phys, Parks Rd, Oxford OX1 3PU, England.			Stainforth, David/0000-0001-6476-733X					11	25	28	0	2	IEEE COMPUTER SOC	LOS ALAMITOS	10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, CA 90720-1264 USA			0-7695-2448-6				2005							8	15		10.1109/E-SCIENCE.2005.76	http://dx.doi.org/10.1109/E-SCIENCE.2005.76			8	Computer Science, Theory & Methods	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science	BDR89					2025-01-27	WOS:000235152600004
